# Iteration, E/spin, M/spin
552, -0.3708594,  0.8339844
553, -0.3644336,  0.8105469
554, -0.3791211,  0.8300781
555, -0.3901367,  0.8535156
556, -0.3837109,  0.8593750
557, -0.4020703,  0.8945312
558, -0.3928906,  0.8789062
559, -0.3791211,  0.8554688
560, -0.3837109,  0.8593750
561, -0.3717773,  0.8574219
562, -0.3883008,  0.8574219
563, -0.3846289,  0.8359375
564, -0.3938086,  0.8554688
565, -0.3938086,  0.8710938
566, -0.3809570,  0.8437500
567, -0.3653516,  0.8007812
568, -0.3736133,  0.8144531
569, -0.3745313,  0.8183594
570, -0.3892188,  0.8515625
571, -0.3708594,  0.8300781
572, -0.3818750,  0.8417969
573, -0.4011523,  0.8750000
574, -0.4048242,  0.8906250
575, -0.4048242,  0.9023438
576, -0.4057422,  0.9042969
577, -0.4029883,  0.8964844
578, -0.4176758,  0.9238281
579, -0.4094141,  0.9179688
580, -0.4048242,  0.9062500
581, -0.3956445,  0.8906250
582, -0.3938086,  0.9003906
583, -0.4048242,  0.9140625
584, -0.3974805,  0.9042969
585, -0.3965625,  0.8964844
586, -0.3919727,  0.8828125
587, -0.4002344,  0.8984375
588, -0.4048242,  0.8984375
589, -0.3993164,  0.8964844
590, -0.3873828,  0.8691406
591, -0.3883008,  0.8750000
592, -0.3965625,  0.8867188
593, -0.4048242,  0.9003906
594, -0.4011523,  0.8925781
595, -0.3846289,  0.8867188
596, -0.3809570,  0.8769531
597, -0.3745313,  0.8554688
598, -0.3690234,  0.8496094
599, -0.3736133,  0.8710938
600, -0.3947266,  0.9042969
601, -0.4011523,  0.9003906
602, -0.4029883,  0.9101562
603, -0.4094141,  0.9218750
604, -0.3901367,  0.9003906
605, -0.4084961,  0.9082031
606, -0.4094141,  0.9160156
607, -0.4140039,  0.9257812
608, -0.4094141,  0.9121094
609, -0.3974805,  0.8964844
610, -0.4039063,  0.9121094
611, -0.3873828,  0.8789062
612, -0.3883008,  0.8671875
613, -0.3864648,  0.8613281
614, -0.3864648,  0.8710938
615, -0.3983984,  0.8886719
616, -0.3983984,  0.8789062
617, -0.3873828,  0.8691406
618, -0.3892188,  0.8710938
619, -0.3901367,  0.8613281
620, -0.3956445,  0.8730469
621, -0.3864648,  0.8515625
622, -0.3873828,  0.8359375
623, -0.3754492,  0.8417969
624, -0.3818750,  0.8339844
625, -0.3864648,  0.8457031
626, -0.3928906,  0.8613281
627, -0.3846289,  0.8339844
628, -0.3883008,  0.8339844
629, -0.3928906,  0.8222656
630, -0.3681055,  0.7890625
631, -0.3561719,  0.7656250
632, -0.3488281,  0.7304688
633, -0.3570898,  0.7402344
634, -0.3662695,  0.7597656
635, -0.3625977,  0.7421875
636, -0.3589258,  0.7578125
637, -0.3708594,  0.7714844
638, -0.3616797,  0.7285156
639, -0.3745313,  0.7246094
640, -0.3589258,  0.7031250
641, -0.3690234,  0.7246094
642, -0.3827930,  0.7363281
643, -0.3699414,  0.7265625
644, -0.3763672,  0.7207031
645, -0.3690234,  0.7148438
646, -0.3690234,  0.7324219
647, -0.3809570,  0.7441406
648, -0.3782031,  0.7363281
649, -0.3726953,  0.7226562
650, -0.3635156,  0.6816406
651, -0.3543359,  0.6992188
652, -0.3598438,  0.6992188
653, -0.3525000,  0.6972656
654, -0.3506641,  0.7148438
655, -0.3552539,  0.7363281
656, -0.3635156,  0.7480469
657, -0.3782031,  0.7578125
658, -0.3681055,  0.7285156
659, -0.3570898,  0.7187500
660, -0.3570898,  0.7070312
661, -0.3506641,  0.6894531
662, -0.3552539,  0.6816406
663, -0.3580078,  0.6582031
664, -0.3690234,  0.6718750
665, -0.3561719,  0.6503906
666, -0.3570898,  0.6386719
667, -0.3736133,  0.6406250
668, -0.3653516,  0.6230469
669, -0.3570898,  0.6191406
670, -0.3681055,  0.6308594
671, -0.3671875,  0.6132812
672, -0.3543359,  0.6074219
673, -0.3479102,  0.5703125
674, -0.3525000,  0.5351562
675, -0.3506641,  0.5625000
676, -0.3497461,  0.5781250
677, -0.3506641,  0.5371094
678, -0.3598438,  0.5371094
679, -0.3570898,  0.5468750
680, -0.3681055,  0.5546875
681, -0.3653516,  0.5566406
682, -0.3598438,  0.5175781
683, -0.3625977,  0.5097656
684, -0.3598438,  0.5253906
685, -0.3635156,  0.5292969
686, -0.3359766,  0.5078125
687, -0.3368945,  0.5644531
688, -0.3240430,  0.6015625
689, -0.3267969,  0.6054688
690, -0.3414844,  0.5722656
691, -0.3396484,  0.5664062
692, -0.3368945,  0.5957031
693, -0.3543359,  0.6054688
694, -0.3625977,  0.6484375
695, -0.3726953,  0.6855469
696, -0.3515820,  0.6582031
697, -0.3552539,  0.6621094
698, -0.3598438,  0.6738281
699, -0.3570898,  0.6933594
700, -0.3433203,  0.6562500
701, -0.3451563,  0.6445312
702, -0.3506641,  0.6503906
703, -0.3332227,  0.6425781
704, -0.3497461,  0.6679688
705, -0.3506641,  0.6679688
706, -0.3534180,  0.6738281
707, -0.3442383,  0.6464844
708, -0.3534180,  0.6484375
709, -0.3534180,  0.6523438
710, -0.3405664,  0.6191406
711, -0.3405664,  0.6367188
712, -0.3451563,  0.6875000
713, -0.3295508,  0.6367188
714, -0.3414844,  0.6757812
715, -0.3589258,  0.7011719
716, -0.3671875,  0.7187500
717, -0.3616797,  0.7246094
718, -0.3543359,  0.7207031
719, -0.3515820,  0.7285156
720, -0.3772852,  0.7773438
721, -0.3690234,  0.7421875
722, -0.3561719,  0.7597656
723, -0.3570898,  0.7441406
724, -0.3772852,  0.7851562
725, -0.3653516,  0.7753906
726, -0.3763672,  0.7910156
727, -0.3726953,  0.7773438
728, -0.3690234,  0.7675781
729, -0.3855469,  0.8144531
730, -0.3818750,  0.8261719
731, -0.3892188,  0.8261719
732, -0.3846289,  0.8203125
733, -0.3644336,  0.8105469
734, -0.3671875,  0.8281250
735, -0.3736133,  0.8183594
736, -0.3644336,  0.8105469
737, -0.3818750,  0.8554688
738, -0.3662695,  0.8339844
739, -0.3782031,  0.8242188
740, -0.3846289,  0.8417969
741, -0.3690234,  0.8300781
742, -0.3772852,  0.8515625
743, -0.3708594,  0.8613281
744, -0.3726953,  0.8515625
745, -0.3928906,  0.8945312
